REPORT NAME,SP
Merch-032-HierarchywithSize,mer.uspAptosHierarchyBySku
Merch-033-AptosWeeklySalesWithoutECDC-DC,mer.uspAptosWeeklySalesSummary-without-ECDC-DC
Merch-036-JordanReleaseSalesRecap,mer.uspJordanSalesWatch
Merch-039-StoreColdSalesSummaryReport,[azusw1apsql03].[WSS_APTOS].[mer].[uspColdSalesSummary]
Merch-039-StoreColdSalesSummaryReport,[azusw1apsql03].[WSS_APTOS].[mer].[uspDepartmentSalesBySku]
Merch-040-HotSellerReport,[azusw1apsql03].[WSS_APTOS].[mer].[uspColdSalesSummary]
Merch-040-HotSellerReport,[azusw1apsql03].[WSS_APTOS].[mer].[uspDepartmentSalesBySku]
Merch-042-SalesByStoreDept,[azusw1apsql03].[WSS_APTOS].[mer].[uspColdSalesSummary]
Merch-042-SalesByStoreDept,[azusw1apsql03].[WSS_APTOS].[mer].[uspDepartmentSalesBySku]
Merch-043-SalesbyStyleandStore,[mer].[uspColdSalesSummary];
Merch-043-SalesbyStyleandStore,Missing
Merch-044-UnapprovedPOReport,mer.uspAptosUnapprovedPOReport
Merch-046-RoutingReport,Missing
Merch-046-RoutingReport ,[mer].[uspAptosRoutingReport];
Merch-047-InStockReport,Missing
Merch-047-InStockReport ,[mer].[uspInStockReport]
Merch-048-POReceivedReport,mer.POReceivedReport
Merch-049-EmployeeDiscountReport ,mer.uspMerchEmployeeDiscountReport
Merch-052-Stylelist,Missing
Merch-053-OnOrderPendingResubmitExceptionReport,mer.OnOrderPendingResubmitException
Merch-054-SalesbyWeek,mer.uspSalesbyWeek
Merch-055-NikeOnOrderReport,mer.uspAptosOnOrderReportVendor
Merch-056-PendingResumitPOReport,mer.uspAptosPendingResubmitPOReport
Merch-057-AdidasOnOrderReport ,mer.uspAptosOnOrderReportAdidas
Merch-058-PrivateLabelOnOrderReport,mer.uspAptosOnOrderReportPrivateApparel
Merch-060-ReplenishmentFlagReport,mer.uspReplenishmentReport
Merch-061-SuggestedOrders,Missing
Merch-062-StoreShipmentReportHouston ,mer.uspHJStoreShipHouston
Merch-063-DCReceiptReportHouston,mer.uspHJStoreReceiptHouston
Merch-064-AptosWeeklySalesSummaryReportTexas,Missing
Merch-065-DCReplenishment999to998Stores,mer.uspDCReplenLynwoodToTexas
Merch-066-ImportOnOrderReport,mer.uspImportOnOrderReport
Merch-067-AllowCustomerOrderReport ,mer.uspAllowCustomerOrderReport
Merch-068-ProClubOnOrderReport ,mer.uspAptosOnOrderReportProClub
Merch-069-NikeJordanWeeklySalesSummaryReport,Missing
Merch-070-EDIPendingTransmitReport,mer.uspAptosEDIPendingtransmit
Merch-071-KEYInStockReport,Missing
Merch-072-HoustonInStockReport,Missing
Merch-073-HoustonKEYInStockReport,Missing
SO_045_SalesflashvsForecast,fin.uspSalesFlashvsForecast
SO_022_RegisterTransactionCount,Missing
 SO_001_FlashSalesByDistrict,mer.uspFlashSalesbyDistrict
